Date,Open,High,Low,Close,Adj Close,Volume
"Oct 24, 2008","8,683.21","8,683.21","8,187.48","8,378.95","8,378.95","3,356,800"
"Oct 23, 2008","8,519.77","8,795.99","8,243.55","8,691.25","8,691.25","3,407,400"
"Oct 22, 2008","9,027.84","9,027.84","8,335.30","8,519.21","8,519.21","3,488,400"
"Oct 21, 2008","9,262.80","9,284.55","9,004.27","9,033.66","9,033.66","2,311,600"
"Oct 20, 2008","8,852.30","9,266.63","8,852.22","9,265.43","9,265.43","2,414,000"
"Oct 17, 2008","8,975.35","9,281.12","8,718.25","8,852.22","8,852.22","3,606,000"
"Oct 16, 2008","8,577.04","9,013.27","8,197.67","8,979.26","8,979.26","4,224,500"
"Oct 15, 2008","9,301.91","9,308.76","8,530.12","8,577.91","8,577.91","3,743,500"
"Oct 14, 2008","9,388.97","9,794.37","9,085.43","9,310.99","9,310.99","4,127,400"
"Oct 13, 2008","8,462.42","9,427.99","8,462.18","9,387.61","9,387.61","3,992,900"
"Oct 10, 2008","8,568.67","8,901.28","7,882.51","8,451.19","8,451.19","6,749,200"
"Oct 09, 2008","9,261.69","9,448.14","8,579.19","8,579.19","8,579.19","4,367,400"
"Oct 08, 2008","9,437.23","9,628.07","9,194.78","9,258.10","9,258.10","4,792,700"
"Oct 07, 2008","9,955.42","10,124.03","9,436.67","9,447.11","9,447.11","3,625,200"
"Oct 06, 2008","10,322.52","10,322.76","9,525.32","9,955.50","9,955.50","3,914,600"
"Oct 03, 2008","10,483.96","10,796.26","10,310.25","10,325.38","10,325.38","2,996,900"
"Oct 02, 2008","10,825.54","10,825.54","10,439.52","10,482.85","10,482.85","3,953,300"
"Oct 01, 2008","10,847.40","10,882.52","10,631.95","10,831.07","10,831.07","2,566,700"
"Sep 30, 2008","10,371.58","10,868.90","10,371.42","10,850.66","10,850.66","3,197,700"
"Sep 29, 2008","11,139.62","11,139.94","10,365.45","10,365.45","10,365.45","3,859,400"
"Sep 26, 2008","11,019.04","11,168.06","10,868.82","11,143.13","11,143.13","2,325,600"
"Sep 25, 2008","10,827.17","11,129.19","10,827.01","11,022.06","11,022.06","2,185,300"
"Sep 24, 2008","10,850.02","10,928.40","10,753.57","10,825.17","10,825.17","1,836,300"
"Sep 23, 2008","11,015.69","11,143.21","10,833.94","10,854.17","10,854.17","2,044,800"
"Sep 22, 2008","11,394.42","11,394.58","10,992.20","11,015.69","11,015.69","2,132,100"
"Sep 19, 2008","11,027.51","11,483.05","11,026.70","11,388.44","11,388.44","6,551,100"
"Sep 18, 2008","10,609.01","11,076.44","10,459.44","11,019.69","11,019.69","4,880,600"
"Sep 17, 2008","11,056.58","11,057.31","10,595.90","10,609.66","10,609.66","4,632,000"
"Sep 16, 2008","10,905.62","11,093.22","10,742.70","11,059.02","11,059.02","4,947,600"
"Sep 15, 2008","11,416.37","11,416.45","10,917.51","10,917.51","10,917.51","4,329,700"
"Sep 12, 2008","11,429.32","11,459.93","11,280.40","11,421.99","11,421.99","2,388,900"
"Sep 11, 2008","11,264.44","11,445.68","11,098.67","11,433.71","11,433.71","2,478,200"
"Sep 10, 2008","11,233.91","11,380.63","11,215.26","11,268.92","11,268.92","2,142,600"
"Sep 09, 2008","11,514.73","11,577.50","11,230.73","11,230.73","11,230.73","2,573,000"
"Sep 08, 2008","11,224.87","11,570.66","11,224.79","11,510.74","11,510.74","2,730,000"
"Sep 05, 2008","11,185.63","11,245.15","11,037.85","11,220.96","11,220.96","1,983,000"
"Sep 04, 2008","11,532.48","11,532.48","11,176.02","11,188.23","11,188.23","2,292,000"
"Sep 03, 2008","11,506.01","11,554.38","11,416.53","11,532.88","11,532.88","1,742,500"
"Sep 02, 2008","11,545.63","11,790.17","11,471.90","11,516.92","11,516.92","1,770,900"
"Aug 29, 2008","11,713.23","11,713.23","11,543.39","11,543.96","11,543.96","1,669,100"
"Aug 28, 2008","11,499.87","11,715.18","11,499.79","11,715.18","11,715.18","1,491,500"
"Aug 27, 2008","11,412.46","11,554.46","11,381.77","11,502.51","11,502.51","1,205,800"
"Aug 26, 2008","11,383.56","11,436.24","11,340.41","11,412.87","11,412.87","1,198,000"
"Aug 25, 2008","11,626.19","11,626.27","11,362.63","11,386.25","11,386.25","1,486,100"
"Aug 22, 2008","11,426.79","11,632.13","11,426.79","11,628.06","11,628.06","1,387,900"
"Aug 21, 2008","11,415.23","11,476.21","11,315.57","11,430.21","11,430.21","1,300,200"
"Aug 20, 2008","11,345.94","11,454.15","11,290.58","11,417.43","11,417.43","1,448,800"
"Aug 19, 2008","11,478.09","11,478.17","11,318.50","11,348.55","11,348.55","1,715,800"
"Aug 18, 2008","11,659.65","11,690.43","11,434.12","11,479.39","11,479.39","1,562,900"
"Aug 15, 2008","11,611.21","11,709.89","11,599.73","11,659.90","11,659.90","2,150,400"
"Aug 14, 2008","11,532.07","11,718.28","11,450.89","11,615.93","11,615.93","1,597,900"
"Aug 13, 2008","11,632.81","11,633.78","11,453.34","11,532.96","11,532.96","1,825,500"
"Aug 12, 2008","11,781.70","11,782.35","11,601.52","11,642.47","11,642.47","1,735,900"
"Aug 11, 2008","11,729.67","11,867.11","11,675.53","11,782.35","11,782.35","1,831,900"
"Aug 08, 2008","11,432.09","11,759.96","11,388.04","11,734.32","11,734.32","2,128,300"
"Aug 07, 2008","11,655.42","11,655.58","11,416.70","11,431.43","11,431.43","2,296,100"
"Aug 06, 2008","11,603.64","11,685.46","11,521.32","11,656.07","11,656.07","1,800,600"
"Aug 05, 2008","11,286.02","11,615.93","11,286.02","11,615.77","11,615.77","2,349,900"
"Aug 04, 2008","11,326.32","11,382.17","11,221.53","11,284.15","11,284.15","1,702,500"
"Aug 01, 2008","11,379.89","11,425.73","11,267.05","11,326.32","11,326.32","1,897,000"
"Jul 31, 2008","11,577.99","11,578.89","11,363.69","11,378.02","11,378.02","2,202,000"
"Jul 30, 2008","11,397.56","11,586.62","11,397.56","11,583.69","11,583.69","2,085,200"
"Jul 29, 2008","11,133.44","11,398.38","11,128.06","11,397.56","11,397.56","2,069,300"
